Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,
181,6.033333,0.47467,-0.002809,0.02487,,,,,,,,,,,,,,
182,6.066667,0.474355,-0.002528,0.026004,,,,,,,,,,,,,,
183,6.1,0.474038,-0.002454,0.02725,,,,,,,,,,,,,,
184,6.133333,0.473804,-0.002276,0.028047,,,,,,,,,,,,,,
185,6.166667,0.473779,-0.002207,0.028241,,,,,,,,,,,,,,
186,6.2,0.473661,-0.002186,0.028296,,,,,,,,,,,,,,
187,6.233333,0.473395,-0.001965,0.029202,,,,,,,,,,,,,,
188,6.266667,0.473235,-0.002016,0.030246,,,,,,,,,,,,,,
189,6.3,0.473218,-0.001961,0.030187,,,,,,,,,,,,,,
190,6.333333,0.473236,-0.001879,0.029616,,,,,,,,,,,,,,
191,6.366667,0.473267,-0.001885,0.029654,,,,,,,,,,,,,,
192,6.4,0.473281,-0.001971,0.029826,,,,,,,,,,,,,,
193,6.433333,0.473258,-0.001882,0.029635,,,,,,,,,,,,,,
194,6.466667,0.473301,-0.001898,0.02949,,,,,,,,,,,,,,
195,6.5,0.473305,-0.001897,0.029644,,,,,,,,,,,,,,
196,6.533333,0.473303,-0.001877,0.029581,,,,,,,,,,,,,,
197,6.566667,0.473331,-0.001904,0.029394,,,,,,,,,,,,,,
198,6.6,0.473325,-0.001902,0.029453,,,,,,,,,,,,,,
199,6.633333,0.47334,-0.001915,0.029445,,,,,,,,,,,,,,
200,6.666667,0.47336,-0.001893,0.02932,,,,,,,,,,,,,,
201,6.7,0.473362,-0.001897,0.029325,,,,,,,,,,,,,,
202,6.733333,0.473375,-0.001914,0.029342,,,,,,,,,,,,,,
203,6.766667,0.473377,-0.001898,0.02926,,,,,,,,,,,,,,
204,6.8,0.473383,-0.001905,0.02923,,,,,,,,,,,,,,
205,6.833333,0.473391,-0.001917,0.029255,,,,,,,,,,,,,,
206,6.866667,0.473392,-0.001912,0.029205,,,,,,,,,,,,,,
207,6.9,0.4734,-0.001904,0.029161,,,,,,,,,,,,,,
208,6.933333,0.473402,-0.001921,0.029184,,,,,,,,,,,,,,
209,6.966667,0.473407,-0.001903,0.029153,,,,,,,,,,,,,,
210,7,0.473414,-0.001908,0.029116,,,,,,,,,,,,,,
211,7.033333,0.473417,-0.001919,0.029121,,,,,,,,,,,,,,
212,7.066667,0.47342,-0.001928,0.029098,,,,,,,,,,,,,,
213,7.1,0.473424,-0.00193,0.029068,,,,,,,,,,,,,,
214,7.133333,0.473429,-0.001933,0.029065,,,,,,,,,,,,,,
215,7.166667,0.473432,-0.001929,0.029055,,,,,,,,,,,,,,
216,7.2,0.473434,-0.00193,0.029033,,,,,,,,,,,,,,
217,7.233333,0.473439,-0.001934,0.029024,,,,,,,,,,,,,,
218,7.266667,0.473443,-0.001933,0.029014,,,,,,,,,,,,,,
219,7.3,0.473454,-0.001951,0.028981,,,,,,,,,,,,,,
220,7.333333,0.473475,-0.001967,0.028873,,,,,,,,,,,,,,
221,7.366667,0.473522,-0.002031,0.028647,,,,,,,,,,,,,,
222,7.4,0.473646,-0.002208,0.028032,,,,,,,,,,,,,,
223,7.433333,0.47383,-0.002364,0.027232,,,,,,,,,,,,,,
224,7.466667,0.473973,-0.002528,0.026426,,,,,,,,,,,,,,
225,7.5,0.474218,-0.002846,0.025507,,,,,,,,,,,,,,
226,7.533333,0.474316,-0.003154,0.024846,,,,,,,,,,,,,,
227,7.566667,0.474337,-0.003228,0.02472,,,,,,,,,,,,,,
228,7.6,0.474323,-0.003232,0.02478,,,,,,,,,,,,,,
229,7.633333,0.47431,-0.003266,0.024544,,,,,,,,,,,,,,
230,7.666667,0.47431,-0.003272,0.024242,,,,,,,,,,,,,,
231,7.7,0.474302,-0.003308,0.024128,,,,,,,,,,,,,,
232,7.733333,0.4743,-0.003295,0.024216,,,,,,,,,,,,,,
233,7.766667,0.474291,-0.003299,0.024277,,,,,,,,,,,,,,
234,7.8,0.474303,-0.003284,0.024213,,,,,,,,,,,,,,
235,7.833333,0.474304,-0.003279,0.024208,,,,,,,,,,,,,,
236,7.866667,0.474291,-0.003256,0.024354,,,,,,,,,,,,,,
237,7.9,0.474257,-0.003268,0.024669,,,,,,,,,,,,,,
238,7.933333,0.474321,-0.003226,0.025139,,,,,,,,,,,,,,
239,7.966667,0.474426,-0.003229,0.025584,,,,,,,,,,,,,,
240,8,0.474518,-0.003189,0.025904,,,,,,,,,,,,,,
241,8.033333,0.474662,-0.003141,0.02654,,,,,,,,,,,,,,
242,8.066667,0.474934,-0.002836,0.027436,,,,,,,,,,,,,,
243,8.1,0.475068,-0.002785,0.027884,,,,,,,,,,,,,,
244,8.133333,0.475226,-0.00265,0.02805,,,,,,,,,,,,,,
245,8.166667,0.475297,-0.002663,0.028154,,,,,,,,,,,,,,
246,8.2,0.475404,-0.002584,0.028531,,,,,,,,,,,,,,
247,8.233333,0.475446,-0.002547,0.028637,,,,,,,,,,,,,,
248,8.266667,0.475385,-0.002604,0.028452,,,,,,,,,,,,,,
249,8.3,0.475408,-0.00257,0.028381,,,,,,,,,,,,,,
250,8.333333,0.475374,-0.002619,0.028355,,,,,,,,,,,,,,
251,8.366667,0.47536,-0.002622,0.028309,,,,,,,,,,,,,,
252,8.4,0.475369,-0.00261,0.028289,,,,,,,,,,,,,,
253,8.433333,0.475362,-0.002621,0.028287,,,,,,,,,,,,,,
254,8.466667,0.475346,-0.002631,0.028259,,,,,,,,,,,,,,
255,8.5,0.475348,-0.002599,0.028209,,,,,,,,,,,,,,
256,8.533333,0.475339,-0.002611,0.028196,,,,,,,,,,,,,,
257,8.566667,0.475329,-0.002619,0.028171,,,,,,,,,,,,,,
258,8.6,0.475329,-0.002604,0.028122,,,,,,,,,,,,,,
259,8.633333,0.475322,-0.002609,0.028116,,,,,,,,,,,,,,
260,8.666667,0.475318,-0.002611,0.028101,,,,,,,,,,,,,,
261,8.7,0.475318,-0.002607,0.028084,,,,,,,,,,,,,,
262,8.733333,0.475313,-0.002612,0.028082,,,,,,,,,,,,,,
263,8.766667,0.475309,-0.002613,0.028063,,,,,,,,,,,,,,
264,8.8,0.475307,-0.00261,0.028049,,,,,,,,,,,,,,
265,8.833333,0.475302,-0.002612,0.028042,,,,,,,,,,,,,,
266,8.866667,0.475294,-0.002627,0.02802,,,,,,,,,,,,,,
267,8.9,0.475287,-0.002638,0.028012,,,,,,,,,,,,,,
268,8.933333,0.475288,-0.002633,0.028004,,,,,,,,,,,,,,
269,8.966667,0.475282,-0.00264,0.027992,,,,,,,,,,,,,,
270,9,0.475285,-0.002634,0.027985,,,,,,,,,,,,,,
271,9.033333,0.475281,-0.002635,0.027976,,,,,,,,,,,,,,
272,9.066667,0.475275,-0.002644,0.027968,,,,,,,,,,,,,,
273,9.1,0.475275,-0.002645,0.027963,,,,,,,,,,,,,,
274,9.133333,0.475271,-0.002645,0.027957,,,,,,,,,,,,,,
275,9.166667,0.475267,-0.002647,0.027945,,,,,,,,,,,,,,
276,9.2,0.47527,-0.002642,0.02794,,,,,,,,,,,,,,
277,9.233333,0.47526,-0.002651,0.027904,,,,,,,,,,,,,,
278,9.266667,0.475193,-0.002699,0.027679,,,,,,,,,,,,,,
279,9.3,0.475034,-0.002864,0.027059,,,,,,,,,,,,,,
280,9.333333,0.474985,-0.002897,0.026349,,,,,,,,,,,,,,
