Format Version,1.23,Take Name,cturtlebot,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2023-04-11 01.20.06.963 PM,Total Frames in Take,1056,Total Exported Frames,1056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081
,ID,"C3AE0","C3AE0","C3AE0","C3AF0","C3AF0","C3AF0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
139,4.633333,0.468712,-0.003693,0.126512,0.442086,0.000512,0.142291
140,4.666667,0.468709,-0.003687,0.126541,0.442099,0.000542,0.142312
141,4.700000,0.468726,-0.003681,0.126544,0.442073,0.000462,0.142377
142,4.733333,0.468724,-0.003677,0.126555,0.442066,0.000468,0.142389
143,4.766667,0.468736,-0.003660,0.126556,0.442071,0.000480,0.142399
144,4.800000,0.468748,-0.003675,0.126561,0.442071,0.000471,0.142401
145,4.833333,0.468747,-0.003675,0.126573,0.442069,0.000474,0.142419
146,4.866667,0.468728,-0.003659,0.126578,0.442068,0.000479,0.142411
147,4.900000,0.468759,-0.003655,0.126578,0.442074,0.000485,0.142427
148,4.933333,0.468733,-0.003676,0.126589,0.442064,0.000468,0.142424
149,4.966667,0.468764,-0.003652,0.126577,0.442068,0.000477,0.142435
150,5.000000,0.468762,-0.003651,0.126575,0.442072,0.000485,0.142429
151,5.033333,0.468761,-0.003665,0.126587,0.442087,0.000442,0.142459
152,5.066667,0.468765,-0.003657,0.126586,0.442087,0.000453,0.142459
153,5.100000,0.468808,-0.003646,0.126586,0.442123,0.000482,0.142491
154,5.133333,0.469253,-0.003328,0.127169,0.442202,0.000705,0.143296
155,5.166667,0.469336,-0.003043,0.127877,0.442171,0.000862,0.144192
156,5.200000,0.469058,-0.003336,0.128638,0.441917,0.000699,0.144858
157,5.233333,0.468772,-0.003148,0.129826,0.441514,0.000718,0.146018
158,5.266667,0.468620,-0.002980,0.130905,0.441383,0.000865,0.147180
159,5.300000,0.468321,-0.003004,0.131914,0.441059,0.000716,0.148071
160,5.333333,0.468541,-0.003147,0.132725,0.441315,0.000944,0.148902
161,5.366667,0.468572,-0.003067,0.134627,0.441341,0.000877,0.150779
162,5.400000,0.468991,-0.003092,0.136536,0.441676,0.000669,0.152719
163,5.433333,0.469122,-0.003369,0.137555,0.441801,0.000523,0.153669
164,5.466667,0.469155,-0.003374,0.137636,0.441829,0.000526,0.153755
165,5.500000,0.469211,-0.003342,0.137694,0.441926,0.000635,0.153878
166,5.533333,0.469186,-0.003370,0.137639,0.441889,0.000573,0.153788
167,5.566667,0.469203,-0.003373,0.137668,0.441914,0.000615,0.153830
168,5.600000,0.469208,-0.003364,0.137695,0.441916,0.000611,0.153856
169,5.633333,0.469201,-0.003381,0.137663,0.441916,0.000609,0.153821
170,5.666667,0.469207,-0.003367,0.137692,0.441925,0.000628,0.153861
171,5.700000,0.469202,-0.003382,0.137696,0.441920,0.000612,0.153859
172,5.733333,0.469211,-0.003388,0.137686,0.441929,0.000611,0.153845
173,5.766667,0.469206,-0.003368,0.137707,0.441922,0.000618,0.153871
174,5.800000,0.469207,-0.003394,0.137701,0.441927,0.000601,0.153869
175,5.833333,0.469210,-0.003377,0.137707,0.441925,0.000616,0.153877
176,5.866667,0.469152,-0.003323,0.137743,0.441937,0.000598,0.153865
177,5.900000,0.469103,-0.003618,0.137344,0.441845,0.000369,0.153269
178,5.933333,0.469049,-0.003800,0.136908,0.441866,0.000318,0.152795
179,5.966667,0.469254,-0.003742,0.135811,0.442111,0.000306,0.151679
180,6.000000,0.469518,-0.003701,0.134606,0.442528,0.000438,0.150562
181,6.033333,0.469761,-0.003696,0.133836,0.442909,0.000389,0.149808
182,6.066667,0.469634,-0.003659,0.133245,0.443001,0.000388,0.149233
183,6.100000,0.469746,-0.003777,0.132976,0.443203,0.000410,0.148911
184,6.133333,0.469658,-0.003751,0.132667,0.443208,0.000382,0.148631
185,6.166667,0.469732,-0.003658,0.132809,0.443249,0.000435,0.148807
186,6.200000,0.469709,-0.003697,0.132742,0.443212,0.000408,0.148746
187,6.233333,0.469830,-0.003667,0.132845,0.443257,0.000448,0.148853
188,6.266667,0.469770,-0.003767,0.132821,0.443222,0.000423,0.148799
189,6.300000,0.469845,-0.003643,0.132849,0.443262,0.000457,0.148873
190,6.333333,0.469783,-0.003760,0.132848,0.443222,0.000414,0.148836
191,6.366667,0.469844,-0.003653,0.132860,0.443259,0.000443,0.148889
192,6.400000,0.469800,-0.003737,0.132858,0.443234,0.000427,0.148852
193,6.433333,0.469853,-0.003654,0.132862,0.443257,0.000443,0.148895
194,6.466667,0.469801,-0.003741,0.132872,0.443232,0.000421,0.148869
195,6.500000,0.469857,-0.003642,0.132861,0.443256,0.000451,0.148891
196,6.533333,0.469816,-0.003740,0.132880,0.443240,0.000431,0.148875
197,6.566667,0.469854,-0.003648,0.132867,0.443248,0.000441,0.148903
198,6.600000,0.469847,-0.003656,0.132843,0.443240,0.000435,0.148886
199,6.633333,0.469866,-0.003638,0.132857,0.443250,0.000449,0.148910
200,6.666667,0.470082,-0.003565,0.133038,0.443295,0.000551,0.149216
201,6.700000,0.470338,-0.003040,0.133812,0.443383,0.000854,0.150267
202,6.733333,0.470121,-0.003128,0.134599,0.443126,0.000761,0.151005
203,6.766667,0.470043,-0.003284,0.135337,0.442932,0.000633,0.151690
204,6.800000,0.469730,-0.003069,0.136419,0.442608,0.000661,0.152842
205,6.833333,0.469411,-0.003033,0.137663,0.442205,0.000829,0.153929
206,6.866667,0.469447,-0.003059,0.138614,0.442211,0.000772,0.154851
207,6.900000,0.469601,-0.003057,0.139681,0.442390,0.000802,0.156019
208,6.933333,0.469713,-0.003152,0.141539,0.442546,0.000736,0.157851
209,6.966667,0.470037,-0.003261,0.143066,0.442799,0.000642,0.159361
210,7.000000,0.470056,-0.003358,0.143682,0.442827,0.000437,0.160019
211,7.033333,0.470144,-0.003323,0.143744,0.442930,0.000527,0.160093
212,7.066667,0.470111,-0.003332,0.143752,0.442915,0.000520,0.160130
213,7.100000,0.470126,-0.003374,0.143705,0.442949,0.000518,0.160076
214,7.133333,0.470124,-0.003323,0.143779,0.442927,0.000521,0.160150
215,7.166667,0.470142,-0.003368,0.143748,0.442954,0.000518,0.160122
216,7.200000,0.470128,-0.003357,0.143768,0.442931,0.000515,0.160136
217,7.233333,0.470137,-0.003351,0.143788,0.442963,0.000557,0.160174
218,7.266667,0.470145,-0.003360,0.143773,0.442951,0.000512,0.160153
219,7.300000,0.470136,-0.003360,0.143794,0.442968,0.000560,0.160181
220,7.333333,0.470130,-0.003353,0.143809,0.442957,0.000554,0.160196
221,7.366667,0.470147,-0.003367,0.143800,0.442971,0.000551,0.160193
222,7.400000,0.470144,-0.003361,0.143818,0.442971,0.000549,0.160211
223,7.433333,0.470022,-0.003298,0.143862,0.442913,0.000474,0.160172
224,7.466667,0.470002,-0.003689,0.143249,0.442848,0.000304,0.159354
225,7.500000,0.470146,-0.003828,0.142599,0.443009,0.000308,0.158643
226,7.533333,0.470317,-0.003754,0.141484,0.443298,0.000368,0.157550
227,7.566667,0.470587,-0.003733,0.140417,0.443760,0.000398,0.156517
228,7.600000,0.470591,-0.003666,0.139834,0.443923,0.000351,0.155979
229,7.633333,0.470618,-0.003661,0.139350,0.444052,0.000321,0.155534
230,7.666667,0.470647,-0.003732,0.138976,0.444205,0.000404,0.155033
231,7.700000,0.470681,-0.003717,0.138864,0.444245,0.000404,0.154963
232,7.733333,0.470715,-0.003680,0.138935,0.444271,0.000431,0.155055
233,7.766667,0.470704,-0.003691,0.138907,0.444271,0.000439,0.155037
234,7.800000,0.470740,-0.003665,0.138961,0.444290,0.000452,0.155110
235,7.833333,0.470721,-0.003680,0.138936,0.444261,0.000440,0.155086
236,7.866667,0.470753,-0.003651,0.138976,0.444281,0.000460,0.155128
237,7.900000,0.470744,-0.003669,0.138954,0.444269,0.000446,0.155105
238,7.933333,0.470760,-0.003652,0.138982,0.444275,0.000460,0.155141
239,7.966667,0.470754,-0.003657,0.138964,0.444271,0.000452,0.155124
240,8.000000,0.470771,-0.003645,0.138983,0.444285,0.000466,0.155147
241,8.033333,0.470755,-0.003663,0.138975,0.444269,0.000447,0.155138
242,8.066667,0.470769,-0.003641,0.138989,0.444278,0.000467,0.155155
243,8.100000,0.470768,-0.003644,0.138977,0.444274,0.000462,0.155145
244,8.133333,0.470776,-0.003647,0.138995,0.444276,0.000461,0.155164
245,8.166667,0.470770,-0.003643,0.138986,0.444273,0.000461,0.155152
246,8.200000,0.470789,-0.003641,0.138978,0.444288,0.000471,0.155176
247,8.233333,0.471142,-0.003337,0.139470,0.444356,0.000617,0.155945
