Frame,Time (Seconds),X,Y,Z
249,8.3,0.388825,-0.001232,0.145763
250,8.333333,0.388924,-0.001176,0.14573
251,8.366667,0.3891,-0.001,0.14511
252,8.4,0.389355,-0.000849,0.143702
253,8.433333,0.389783,-0.000832,0.141783
254,8.466667,0.39008,-0.000868,0.139224
255,8.5,0.390176,-0.001,0.136126
256,8.533333,0.390218,-0.001343,0.133841
257,8.566667,0.390244,-0.001062,0.132809
258,8.6,0.390417,-0.001236,0.132913
259,8.633333,0.39047,-0.001243,0.133413
260,8.666667,0.390518,-0.001219,0.134234
261,8.7,0.390484,-0.001468,0.135218
262,8.733333,0.390414,-0.001285,0.135707
263,8.766667,0.390459,-0.001429,0.136103
264,8.8,0.390389,-0.001565,0.13673
265,8.833333,0.390326,-0.001535,0.137365
266,8.866667,0.390325,-0.0017,0.137825
267,8.9,0.390308,-0.001741,0.138108
268,8.933333,0.3903,-0.001763,0.13857
269,8.966667,0.390243,-0.001861,0.139053
270,9,0.390214,-0.001835,0.139365
271,9.033333,0.390208,-0.001855,0.139416
272,9.066667,0.390221,-0.00183,0.139319
273,9.1,0.390198,-0.00185,0.139404
274,9.133333,0.390206,-0.001822,0.139408
275,9.166667,0.390205,-0.001849,0.139384
276,9.2,0.390191,-0.001839,0.139424
277,9.233333,0.390197,-0.00183,0.139416
278,9.266667,0.39019,-0.001843,0.139408
279,9.3,0.390187,-0.001825,0.139427
280,9.333333,0.390188,-0.001842,0.13942
281,9.366667,0.390182,-0.001838,0.139405
282,9.4,0.390181,-0.00184,0.139408
283,9.433333,0.390182,-0.001837,0.139414
284,9.466667,0.390181,-0.001835,0.139412
285,9.5,0.39018,-0.001835,0.139413
286,9.533333,0.390183,-0.001837,0.139417
287,9.566667,0.39018,-0.001839,0.139415
288,9.6,0.390176,-0.00183,0.139412
289,9.633333,0.390178,-0.001833,0.139417
290,9.666667,0.390185,-0.001838,0.13942
291,9.7,0.390181,-0.001836,0.139416
292,9.733333,0.390176,-0.001831,0.139415
293,9.766667,0.390176,-0.001828,0.139409
294,9.8,0.390175,-0.001833,0.139408
295,9.833333,0.390173,-0.001834,0.139411
296,9.866667,0.390176,-0.001837,0.139409
297,9.9,0.390174,-0.001836,0.139413
298,9.933333,0.390171,-0.001829,0.139407
299,9.966667,0.390173,-0.001829,0.13941
300,10,0.390173,-0.001832,0.139415
301,10.033333,0.390162,-0.001837,0.13943
302,10.066667,0.390107,-0.001828,0.139464
303,10.1,0.39003,-0.001735,0.139458
304,10.133333,0.389944,-0.001699,0.139417
305,10.166667,0.389901,-0.001604,0.139035
306,10.2,0.389868,-0.001504,0.138601
307,10.233333,0.389715,-0.001549,0.138457
308,10.266667,0.389645,-0.00143,0.138444
309,10.3,0.38953,-0.001486,0.138569
310,10.333333,0.38937,-0.001317,0.138429
311,10.366667,0.389084,-0.001281,0.137956
312,10.4,0.388682,-0.001092,0.136841
313,10.433333,0.388238,-0.001055,0.134829
314,10.466667,0.38773,-0.00106,0.131585
315,10.5,0.387103,-0.00113,0.128857
316,10.533333,0.386935,-0.000677,0.12775
317,10.566667,0.386528,-0.001149,0.128258
318,10.6,0.38652,-0.001214,0.129319
319,10.633333,0.386536,-0.001083,0.130059
320,10.666667,0.386515,-0.001271,0.130691
321,10.7,0.38655,-0.001234,0.131198
322,10.733333,0.386531,-0.001248,0.132134
323,10.766667,0.386631,-0.001369,0.133353
324,10.8,0.38666,-0.001404,0.134337
325,10.833333,0.386684,-0.001374,0.134942
326,10.866667,0.386731,-0.001439,0.135474
327,10.9,0.386781,-0.001394,0.136104
328,10.933333,0.386822,-0.001368,0.136735
329,10.966667,0.386825,-0.001446,0.137061
330,11,0.386828,-0.001382,0.136926
331,11.033333,0.386831,-0.001382,0.136821
332,11.066667,0.386845,-0.001426,0.13686
333,11.1,0.386856,-0.001361,0.136821
334,11.133333,0.386839,-0.00142,0.136893
335,11.166667,0.386831,-0.001371,0.136854
336,11.2,0.386856,-0.001399,0.136878
337,11.233333,0.386854,-0.001411,0.13686
338,11.266667,0.386843,-0.001387,0.136865
339,11.3,0.386853,-0.001411,0.136868
340,11.333333,0.386861,-0.001396,0.136866
341,11.366667,0.386862,-0.001395,0.136856
342,11.4,0.386872,-0.001408,0.136892
343,11.433333,0.386884,-0.001383,0.136891
344,11.466667,0.386877,-0.001406,0.13688
345,11.5,0.38687,-0.001385,0.136865
346,11.533333,0.38688,-0.001402,0.136888
347,11.566667,0.386883,-0.001405,0.136876
348,11.6,0.386866,-0.00139,0.13686
349,11.633333,0.386875,-0.001401,0.136874
350,11.666667,0.38687,-0.001394,0.136905
351,11.7,0.386865,-0.001402,0.136887
352,11.733333,0.386862,-0.001402,0.13688
353,11.766667,0.386874,-0.001404,0.136907
354,11.8,0.386848,-0.001394,0.136905
355,11.833333,0.38684,-0.001391,0.136872
356,11.866667,0.386867,-0.001409,0.136883
357,11.9,0.386872,-0.001415,0.136905
358,11.933333,0.386854,-0.001405,0.136894
359,11.966667,0.386874,-0.001411,0.136896
360,12,0.386995,-0.001373,0.136762
361,12.033333,0.38712,-0.001238,0.136493
362,12.066667,0.38721,-0.001098,0.136121
363,12.1,0.387355,-0.001078,0.135715
364,12.133333,0.387448,-0.000987,0.135504
365,12.166667,0.387559,-0.00112,0.135616
366,12.2,0.387697,-0.001101,0.135473
367,12.233333,0.387933,-0.000942,0.134629
368,12.266667,0.388225,-0.000779,0.132938
369,12.3,0.38869,-0.000718,0.130518
370,12.333333,0.389155,-0.000737,0.127393
371,12.366667,0.389137,-0.001042,0.123701
372,12.4,0.389086,-0.001146,0.122333
373,12.433333,0.389253,-0.001022,0.122103
374,12.466667,0.389307,-0.001292,0.122456
375,12.5,0.389387,-0.001144,0.123015
376,12.533333,0.389365,-0.001341,0.123996
377,12.566667,0.389392,-0.001364,0.1247
378,12.6,0.389349,-0.001263,0.124971
379,12.633333,0.389294,-0.001471,0.12563
380,12.666667,0.389254,-0.001479,0.126494
381,12.7,0.3892,-0.001583,0.127117
382,12.733333,0.389168,-0.001668,0.127317
383,12.766667,0.3892,-0.001639,0.127559
384,12.8,0.389187,-0.001754,0.128033
385,12.833333,0.389138,-0.001791,0.128564
386,12.866667,0.389076,-0.001758,0.128834
387,12.9,0.389103,-0.001792,0.128812
388,12.933333,0.389099,-0.001748,0.128686
389,12.966667,0.38909,-0.001767,0.128711
390,13,0.389079,-0.001767,0.128816
391,13.033333,0.38907,-0.001775,0.128884
392,13.066667,0.389075,-0.001767,0.128843
393,13.1,0.389082,-0.001795,0.128848
394,13.133333,0.389069,-0.001752,0.128864
395,13.166667,0.389053,-0.001789,0.128887
396,13.2,0.389068,-0.001761,0.128857
397,13.233333,0.389069,-0.00178,0.128886
398,13.266667,0.389078,-0.001775,0.128872
399,13.3,0.389062,-0.001778,0.128893
400,13.333333,0.389047,-0.001768,0.128903
401,13.366667,0.38907,-0.001774,0.128873
402,13.4,0.389063,-0.001778,0.128879
403,13.433333,0.389033,-0.001776,0.12888
404,13.466667,0.389063,-0.001778,0.128882
405,13.5,0.389064,-0.001772,0.128895
406,13.533333,0.389031,-0.001773,0.128896
407,13.566667,0.389058,-0.001779,0.128893
408,13.6,0.389066,-0.001778,0.128888
409,13.633333,0.389049,-0.001769,0.128894
410,13.666667,0.389052,-0.001773,0.128896
411,13.7,0.389068,-0.001783,0.128913
412,13.733333,0.389082,-0.001778,0.12889
413,13.766667,0.389086,-0.001779,0.128883
414,13.8,0.389055,-0.001784,0.12889
415,13.833333,0.389053,-0.00178,0.128907
416,13.866667,0.389065,-0.001779,0.128903
417,13.9,0.389041,-0.001788,0.128921
418,13.933333,0.388925,-0.001765,0.128994
419,13.966667,0.388862,-0.001683,0.128983
420,14,0.388816,-0.001648,0.128852
421,14.033333,0.388757,-0.001491,0.128388
422,14.066667,0.388703,-0.001541,0.128308
423,14.1,0.388566,-0.001433,0.128294
424,14.133333,0.388479,-0.001344,0.128328
425,14.166667,0.388366,-0.001405,0.128422
426,14.2,0.388226,-0.001302,0.128156
427,14.233333,0.38805,-0.001148,0.127658
428,14.266667,0.387611,-0.001092,0.126787
429,14.3,0.387199,-0.000971,0.124992
430,14.333333,0.386878,-0.000794,0.12192
431,14.366667,0.386169,-0.001141,0.118989
432,14.4,0.38619,-0.00072,0.118053
433,14.433333,0.385707,-0.000899,0.118491
434,14.466667,0.385694,-0.001197,0.119715
435,14.5,0.385681,-0.001014,0.120553
436,14.533333,0.38574,-0.00119,0.121245
437,14.566667,0.38577,-0.001132,0.121821
438,14.6,0.385678,-0.001349,0.122896
439,14.633333,0.38577,-0.001315,0.124114
440,14.666667,0.385847,-0.001389,0.125085
441,14.7,0.385823,-0.001478,0.125713
442,14.733333,0.385767,-0.00136,0.126085
443,14.766667,0.385812,-0.001329,0.126551
444,14.8,0.38584,-0.001398,0.127043
445,14.833333,0.385766,-0.001366,0.127155
446,14.866667,0.385783,-0.00134,0.127036
447,14.9,0.3858,-0.001393,0.127124
448,14.933333,0.385765,-0.001359,0.127164
449,14.966667,0.38576,-0.001381,0.127063
450,15,0.38579,-0.00136,0.127058
451,15.033333,0.385784,-0.001371,0.127122
452,15.066667,0.38578,-0.001391,0.127081
453,15.1,0.385835,-0.001358,0.127053
454,15.133333,0.385859,-0.001406,0.127083
455,15.166667,0.385828,-0.00138,0.12706
456,15.2,0.385873,-0.001383,0.127041
457,15.233333,0.385926,-0.001383,0.127041
458,15.266667,0.385901,-0.001394,0.127061
459,15.3,0.385884,-0.001395,0.127062
460,15.333333,0.385931,-0.001407,0.127043
461,15.366667,0.38592,-0.001387,0.127024
462,15.4,0.385884,-0.001385,0.127026
463,15.433333,0.385916,-0.001399,0.127063
464,15.466667,0.385963,-0.001417,0.127051
465,15.5,0.38593,-0.001391,0.127015
466,15.533333,0.385897,-0.001386,0.127039
467,15.566667,0.385921,-0.001399,0.127073
468,15.6,0.38594,-0.00141,0.127051
469,15.633333,0.385901,-0.001399,0.127043
470,15.666667,0.38589,-0.001397,0.127094
471,15.7,0.385924,-0.001408,0.127098
472,15.733333,0.385914,-0.00138,0.127022
473,15.766667,0.385909,-0.001382,0.127048
474,15.8,0.385936,-0.001437,0.127119
475,15.833333,0.385982,-0.001436,0.12709
476,15.866667,0.386118,-0.00128,0.126841
477,15.9,0.386188,-0.00114,0.126416
478,15.933333,0.386285,-0.001087,0.126112
479,15.966667,0.386462,-0.000984,0.126007
480,16,0.386503,-0.001042,0.126149
481,16.033333,0.386638,-0.001167,0.126186
482,16.066667,0.38679,-0.001016,0.125784
483,16.1,0.387049,-0.000846,0.124825
484,16.133333,0.387504,-0.000754,0.123336
485,16.166667,0.388071,-0.000614,0.121272
486,16.2,0.388701,-0.000683,0.118768
487,16.233333,0.388946,-0.000966,0.115481
488,16.266667,0.388976,-0.001268,0.113263
489,16.3,0.38914,-0.000856,0.112204
490,16.333333,0.389263,-0.001114,0.112397
491,16.366667,0.389313,-0.00114,0.113008
492,16.4,0.389317,-0.001171,0.113832
493,16.433333,0.38924,-0.001362,0.114767
494,16.466667,0.38917,-0.001282,0.115318
495,16.5,0.389208,-0.001444,0.115696
496,16.533333,0.389163,-0.001459,0.116235
497,16.566667,0.389097,-0.001494,0.116722
498,16.6,0.3891,-0.001644,0.117114
499,16.633333,0.389082,-0.001621,0.117395
500,16.666667,0.38904,-0.001693,0.117885
501,16.7,0.389016,-0.00172,0.118361
502,16.733333,0.389005,-0.001698,0.118509
503,16.766667,0.389015,-0.001676,0.118449
504,16.8,0.389014,-0.001705,0.118475
505,16.833333,0.389008,-0.001666,0.118508
506,16.866667,0.388998,-0.001701,0.118486
507,16.9,0.388994,-0.00168,0.118468
508,16.933333,0.388991,-0.001684,0.118515
509,16.966667,0.388988,-0.001686,0.118492
510,17,0.388993,-0.001677,0.118444
511,17.033333,0.388993,-0.001682,0.11846
512,17.066667,0.388981,-0.001684,0.11849
513,17.1,0.388981,-0.00168,0.118465
514,17.133333,0.388981,-0.001677,0.118464
515,17.166667,0.388976,-0.001674,0.118489
516,17.2,0.388967,-0.001684,0.118485
517,17.233333,0.388976,-0.001672,0.11847
518,17.266667,0.388977,-0.001686,0.118499
519,17.3,0.388972,-0.001674,0.118491
520,17.333333,0.388966,-0.001682,0.118487
521,17.366667,0.388962,-0.001673,0.118479
522,17.4,0.388966,-0.001678,0.118491
523,17.433333,0.388964,-0.001679,0.1185
524,17.466667,0.388948,-0.001671,0.118495
525,17.5,0.388954,-0.001673,0.118504
526,17.533333,0.388965,-0.001676,0.118516
527,17.566667,0.388966,-0.001673,0.118491
528,17.6,0.388969,-0.001672,0.118482
529,17.633333,0.388976,-0.001677,0.118505
530,17.666667,0.388977,-0.001677,0.118506
531,17.7,0.388978,-0.001671,0.118481
532,17.733333,0.388973,-0.001672,0.118503
533,17.766667,0.388922,-0.001695,0.118603
534,17.8,0.388831,-0.00164,0.118659
535,17.833333,0.388725,-0.001639,0.118578
536,17.866667,0.388737,-0.001547,0.11833
537,17.9,0.388641,-0.001485,0.117965
538,17.933333,0.388515,-0.001417,0.117746
539,17.966667,0.388472,-0.001299,0.117555
540,18,0.388361,-0.001367,0.117599
541,18.033333,0.388234,-0.001327,0.117617
542,18.066667,0.387997,-0.001172,0.117288
543,18.1,0.387736,-0.001098,0.116548
544,18.133333,0.38733,-0.001006,0.115045
545,18.166667,0.386875,-0.001002,0.112568
546,18.2,0.386094,-0.00107,0.109261
547,18.233333,0.386066,-0.00073,0.10775
548,18.266667,0.38546,-0.000809,0.107468
549,18.3,0.385472,-0.001144,0.10857
550,18.333333,0.385403,-0.000959,0.109389
551,18.366667,0.385418,-0.001181,0.110111
552,18.4,0.385424,-0.001067,0.110581
553,18.433333,0.38546,-0.001231,0.111568
554,18.466667,0.385527,-0.001252,0.112893
555,18.5,0.385529,-0.001357,0.11408
556,18.533333,0.385558,-0.001329,0.114722
557,18.566667,0.385561,-0.001389,0.115155
558,18.6,0.385614,-0.001363,0.115728
559,18.633333,0.385689,-0.001312,0.116497
560,18.666667,0.385696,-0.001427,0.117079
561,18.7,0.385691,-0.001368,0.117042
562,18.733333,0.385699,-0.00133,0.116782
563,18.766667,0.385713,-0.00139,0.116851
564,18.8,0.38571,-0.001331,0.116873
565,18.833333,0.385708,-0.001376,0.116816
566,18.866667,0.385709,-0.001363,0.116858
567,18.9,0.385712,-0.001345,0.116853
568,18.933333,0.385717,-0.001427,0.116865
569,18.966667,0.385709,-0.001337,0.116845
570,19,0.385717,-0.001395,0.116872
571,19.033333,0.385706,-0.001363,0.116867
572,19.066667,0.385705,-0.001358,0.116851
573,19.1,0.385714,-0.00138,0.116844
574,19.133333,0.385712,-0.00135,0.116863
575,19.166667,0.385698,-0.00139,0.116873
576,19.2,0.385704,-0.001359,0.116839
577,19.233333,0.385712,-0.001365,0.116864
578,19.266667,0.385708,-0.001372,0.116866
579,19.3,0.385712,-0.001354,0.116863
580,19.333333,0.385723,-0.001374,0.116859
581,19.366667,0.385712,-0.00136,0.116844
582,19.4,0.385709,-0.001369,0.116856
583,19.433333,0.385721,-0.00137,0.116855
584,19.466667,0.385727,-0.00136,0.116859
585,19.5,0.385715,-0.001373,0.116859
586,19.533333,0.385722,-0.001375,0.116865
587,19.566667,0.385733,-0.001391,0.116873
588,19.6,0.385721,-0.001368,0.11685
589,19.633333,0.385714,-0.001386,0.116872
590,19.666667,0.38573,-0.001397,0.116876
591,19.7,0.385796,-0.001377,0.116854
592,19.733333,0.385972,-0.001234,0.116639
593,19.766667,0.386052,-0.001009,0.116139
594,19.8,0.386198,-0.001032,0.115744
595,19.833333,0.386318,-0.000942,0.115632
596,19.866667,0.386405,-0.001052,0.115783
597,19.9,0.386547,-0.001059,0.115766
598,19.933333,0.386778,-0.000913,0.115332
599,19.966667,0.387068,-0.000786,0.114199
600,20,0.387563,-0.000695,0.112646
601,20.033333,0.388131,-0.000686,0.110586
602,20.066667,0.388681,-0.000599,0.107954
603,20.1,0.389011,-0.000999,0.104749
604,20.133333,0.389047,-0.001091,0.102771
605,20.166667,0.38923,-0.000845,0.102045
606,20.2,0.389286,-0.001192,0.102314
607,20.233333,0.389321,-0.001055,0.102792
608,20.266667,0.389356,-0.001199,0.103739
609,20.3,0.389267,-0.001302,0.104738
610,20.333333,0.389187,-0.001246,0.105234
611,20.366667,0.389179,-0.001416,0.105593
612,20.4,0.389161,-0.001412,0.106118
613,20.433333,0.389111,-0.001471,0.106772
614,20.466667,0.389049,-0.001663,0.107269
615,20.5,0.389044,-0.001635,0.107561
616,20.533333,0.389046,-0.001723,0.10799
617,20.566667,0.388972,-0.001734,0.10837
618,20.6,0.388957,-0.001687,0.108435
619,20.633333,0.388983,-0.001702,0.108364
620,20.666667,0.388984,-0.001697,0.108416
621,20.7,0.388961,-0.001681,0.108452
