,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,d30_30tall_15canal,"d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker1","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker2","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3","d30_30tall_15canal:Marker3",d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker1,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker2,d30_30tall_15canal:Marker3,d30_30tall_15canal:Marker3,d30_30tall_15canal:Marker3
,ID,"BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","BFC84B45C8211ED3650DF211B0065A6","C36B0","C36B0","C36B0","C36A0","C36A0","C36A0","C3700","C3700","C3700"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
30,1.000000,0.014419,0.042076,-0.005255,-0.998997,0.210232,-0.002668,0.292254,0.000640,0.254326,0.002699,0.301701,0.848118,0.221371,-0.005285,0.280206,0.893421,0.154999,-0.005419,0.294856,0.952714,0.254860,0.002877,0.301932,0.221007,-0.005443,0.280049,0.154845,-0.005510,0.294793
31,1.033333,0.017310,0.049052,-0.006138,-0.998627,0.209934,-0.002979,0.291260,0.000636,0.253883,0.002521,0.301290,0.848118,0.221245,-0.005645,0.279384,0.893421,0.154675,-0.005813,0.293106,0.952714,0.254414,0.002706,0.301521,0.220890,-0.005802,0.279228,0.154509,-0.005910,0.293038
32,1.066667,0.020276,0.053862,-0.006253,-0.998323,0.209676,-0.003005,0.290577,0.000634,0.253526,0.002560,0.300999,0.848189,0.221101,-0.005740,0.278826,0.895571,0.154402,-0.005836,0.291905,0.948987,0.254042,0.002756,0.301240,0.220746,-0.005910,0.278657,0.154249,-0.005929,0.291840
33,1.100000,0.016835,0.059988,-0.006274,-0.998038,0.209211,-0.002980,0.290315,0.000623,0.252926,0.002540,0.301311,0.849353,0.220780,-0.005626,0.278687,0.892887,0.153926,-0.005854,0.290948,0.952500,0.253453,0.002721,0.301556,0.220454,-0.005788,0.278518,0.153741,-0.005950,0.290881
34,1.133333,0.020443,0.065489,-0.006013,-0.997626,0.208813,-0.003102,0.289716,0.000624,0.252408,0.002464,0.301157,0.847836,0.220509,-0.005839,0.278236,0.899803,0.153523,-0.005931,0.289757,0.945252,0.252924,0.002656,0.301408,0.220178,-0.006007,0.278059,0.153347,-0.006025,0.289690
35,1.166667,0.022017,0.069319,-0.006143,-0.997333,0.208577,-0.003056,0.289022,0.000653,0.252082,0.002556,0.300780,0.848606,0.220361,-0.005826,0.277640,0.897349,0.153288,-0.005898,0.288646,0.947550,0.252598,0.002767,0.301049,0.220000,-0.006013,0.277443,0.153139,-0.005987,0.288578
36,1.200000,0.019835,0.073506,-0.005629,-0.997082,0.208278,-0.003023,0.288569,0.000644,0.251685,0.002512,0.300715,0.845082,0.220156,-0.005749,0.277274,0.887073,0.152993,-0.005832,0.287716,0.953482,0.252218,0.002696,0.300981,0.219814,-0.005909,0.277098,0.152818,-0.005932,0.287638
37,1.233333,0.022652,0.077191,-0.005855,-0.996742,0.208059,-0.002978,0.288073,0.000618,0.251374,0.002635,0.300511,0.844177,0.220020,-0.005765,0.276883,0.896101,0.152782,-0.005803,0.286827,0.945982,0.251890,0.002809,0.300758,0.219692,-0.005906,0.276729,0.152607,-0.005910,0.286743
38,1.266667,0.026676,0.079294,-0.004613,-0.996484,0.207986,-0.002896,0.287416,0.000628,0.251264,0.002685,0.299997,0.853300,0.219987,-0.005806,0.276299,0.890643,0.152707,-0.005566,0.285951,0.960074,0.251749,0.002879,0.300264,0.219632,-0.005978,0.276112,0.152590,-0.005651,0.285882
39,1.300000,0.026272,0.081687,-0.004240,-0.996303,0.207850,-0.002865,0.286876,0.000619,0.251070,0.002681,0.299670,0.850745,0.219904,-0.005772,0.275814,0.899175,0.152577,-0.005503,0.285142,0.948645,0.251574,0.002866,0.299931,0.219576,-0.005931,0.275640,0.152413,-0.005599,0.285065
40,1.333333,0.030390,0.083092,-0.004129,-0.996070,0.207774,-0.002808,0.286391,0.000586,0.250961,0.002807,0.299264,0.858092,0.219857,-0.005816,0.275389,0.906638,0.152504,-0.005417,0.284520,0.948790,0.251445,0.002977,0.299509,0.219550,-0.005958,0.275232,0.152340,-0.005512,0.284444
41,1.366667,0.035236,0.083426,-0.003663,-0.995884,0.207774,-0.002772,0.286045,0.000619,0.250961,0.002893,0.298897,0.849612,0.219860,-0.005905,0.275081,0.898631,0.152501,-0.005303,0.284156,0.947833,0.251464,0.003087,0.299163,0.219540,-0.006076,0.274900,0.152331,-0.005398,0.284080
42,1.400000,,,,,,,,,,,,,,,,,,,,,0.251463,0.003078,0.299217,0.219545,-0.005983,0.274964,0.152323,-0.005367,0.284079
43,1.433333,0.032595,0.083688,-0.003887,-0.995951,0.207760,-0.002710,0.286182,0.000615,0.250936,0.002927,0.299084,0.850638,0.219854,-0.005775,0.275208,0.903703,0.152490,-0.005281,0.284254,0.943453,0.251449,0.003103,0.299335,0.219531,-0.005915,0.275051,0.152311,-0.005388,0.284168
44,1.466667,0.033579,0.083321,-0.003798,-0.995950,0.207776,-0.002695,0.286049,0.000630,0.250964,0.002951,0.298909,0.848353,0.219861,-0.005786,0.275072,0.899720,0.152505,-0.005250,0.284166,0.945169,0.251482,0.003132,0.299166,0.219526,-0.005933,0.274909,0.152333,-0.005356,0.284080
45,1.500000,0.035719,0.083169,-0.003521,-0.995889,0.207796,-0.002692,0.285992,0.000647,0.250991,0.002968,0.298817,0.844087,0.219875,-0.005841,0.275025,0.894120,0.152521,-0.005205,0.284133,0.946384,0.251516,0.003167,0.299089,0.219532,-0.006010,0.274843,0.152351,-0.005307,0.284052
46,1.533333,0.034214,0.082994,-0.003860,-0.995955,0.207800,-0.002656,0.286054,0.000641,0.250995,0.003006,0.298879,0.844087,0.219877,-0.005761,0.275074,0.894120,0.152527,-0.005213,0.284210,0.946384,0.251524,0.003190,0.299137,0.219534,-0.005907,0.274913,0.152351,-0.005323,0.284121
